City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
flinders,0,AU,1584820277,100,-34.58,150.86,64.99400000000007,11.252110000000002
turkan,100,AZ,1584820280,87,40.36,50.22,48.2,5.167470000000001
yellowknife,90,CA,1584820022,92,62.46,-114.35,28.994000000000074,10.2902
east london,5,ZA,1584820284,77,-33.02,27.91,71.79800000000003,5.256950000000001
bengkulu,83,ID,1584820288,89,-3.8,102.27,73.058,3.26602
omboue,100,GA,1584820292,91,-1.57,9.26,75.75800000000001,2.39359
ouro preto do oeste,100,BR,1584820294,92,-10.75,-62.22,77.558,2.37122
mitchell,20,US,1584820159,59,43.71,-98.03,33.998000000000026,17.2249
lamu,0,KE,1584820299,71,-2.27,40.9,84.57800000000006,13.578590000000002
balaguer,20,ES,1584820301,76,41.79,0.81,53.6,6.9347
sirari,94,TZ,1584820303,70,-1.23,34.43,64.41800000000009,6.554410000000001
joshimath,91,IN,1584820305,71,30.57,79.57,35.258,6.129380000000001
vardo,100,NO,1584820307,90,70.37,31.11,30.758000000000003,22.54896
saint-pierre,90,RE,1584820309,73,-21.34,55.48,77.0,9.1717
las vegas,1,US,1584820164,41,36.17,-115.14,62.6,4.6977
uaua,94,BR,1584820313,62,-9.84,-39.48,81.33800000000005,4.31741
bama,76,NG,1584820316,14,11.52,13.69,83.31800000000008,8.47823
puerto del rosario,40,ES,1584820318,52,28.5,-13.86,64.4,16.1064
kerewan,0,GM,1584820320,51,13.49,-16.09,80.6,8.0532
prince rupert,90,CA,1584820322,72,54.32,-130.32,41.0,8.0532
puerto ayora,20,EC,1584820324,70,-0.74,-90.35,84.2,11.4087
hobyo,61,SO,1584820328,73,5.35,48.53,82.058,11.07315
kodiak,90,US,1584820330,69,57.79,-152.41,39.2,6.9347
savannah bight,0,HN,1584820332,76,16.45,-85.85,80.25800000000001,18.1197
lompoc,20,US,1584820335,55,34.64,-120.46,64.00400000000005,5.8162
titisee-neustadt,90,DE,1584820337,86,47.9,8.17,42.998000000000026,8.0532
bethel,20,US,1584820339,31,41.37,-73.41,51.998000000000026,12.750900000000001
lagoa,0,PT,1584820341,67,39.05,-27.98,54.69800000000002,18.45525
dingle,12,PH,1584820343,87,11.0,122.67,74.858,9.52962
karratha,14,AU,1584820345,72,-20.74,116.85,86.91800000000009,8.29927
mahebourg,40,MU,1584820349,65,-20.41,57.7,78.8,10.2902
mingoyo,75,TZ,1584820352,94,-10.1,39.63,78.8,9.1717
solnechnyy,0,RU,1584820354,79,50.72,136.63,11.498000000000026,6.57678
devrek,6,TR,1584820356,81,41.22,31.96,37.958000000000006,5.45828
cabo san lucas,40,MX,1584820127,48,22.89,-109.91,80.00600000000003,11.4087
sandwick,100,GB,1584820362,72,60.0,-1.25,42.8,26.396600000000003
emerald,69,AU,1584820364,88,-23.53,148.17,68.0,5.8162
te anau,48,NZ,1584820366,80,-45.42,167.72,51.09800000000003,9.90991
albenga,20,IT,1584820368,62,44.05,8.22,57.00200000000008,5.8162
saldanha,0,ZA,1584820371,72,-33.01,17.94,64.4,8.0532
aklavik,40,CA,1584820373,86,68.22,-135.01,28.4,3.33313
ouadda,95,CF,1584820375,21,8.08,22.4,83.13800000000005,4.474
tanete,100,ID,1584820377,99,-3.94,119.78,73.77800000000006,0.73821
jimo,0,CN,1584820379,46,36.39,120.46,51.008,11.185
cap malheureux,40,MU,1584820381,65,-19.98,57.61,78.8,10.2902
kahului,75,US,1584820383,88,20.89,-156.47,77.0,10.2902
atuona,33,PF,1584820385,72,-9.8,-139.03,83.13800000000005,9.97702
victor harbor,75,AU,1584820387,82,-35.57,138.62,60.008,13.8694
ilulissat,40,GL,1584820390,71,69.22,-51.1,6.800000000000001,5.8162
luena,90,AO,1584820392,95,-11.78,19.92,64.958,2.08041
dudinka,40,RU,1584820394,84,69.41,86.18,-2.199999999999946,20.133000000000003
georgetown,20,MY,1584820149,88,5.41,100.34,80.6,2.93047
kaitangata,96,NZ,1584820398,79,-46.28,169.85,55.99400000000007,27.26903
vestmanna,100,FO,1584820400,86,62.16,-7.17,41.0,17.2249
kirakira,96,SB,1584820402,79,-10.45,161.92,80.61800000000008,3.6463099999999997
barrow,90,US,1584820404,78,71.29,-156.79,10.399999999999999,9.1717
tasiilaq,0,GL,1584820409,53,65.61,-37.64,21.2,3.3555
thompson,40,CA,1584820314,27,55.74,-97.86,26.6,9.1717
beruwala,75,LK,1584820413,86,6.48,79.98,75.39800000000002,4.22793
havre-saint-pierre,1,CA,1584820415,48,50.23,-63.6,21.2,23.041100000000004
katsuura,41,JP,1584820417,62,35.13,140.3,55.4,3.3555
bambous virieux,40,MU,1584820419,65,-20.34,57.76,78.8,10.2902
santiago,20,CL,1584820370,52,-33.46,-70.65,71.99600000000005,5.8162
itarema,100,BR,1584820423,88,-2.92,-39.92,77.558,3.40024
namibe,19,AO,1584820426,81,-15.2,12.15,73.59800000000003,8.29927
panaba,0,MX,1584820428,62,21.28,-88.27,82.958,15.68137
kapoeta,0,SS,1584820430,55,4.77,33.59,82.41800000000009,5.010880000000001
genhe,7,CN,1584820432,94,50.78,121.52,8.258000000000003,2.41596
graham,90,US,1584820434,71,47.05,-122.29,51.998000000000026,1.5435299999999998
kautokeino,100,NO,1584820436,78,69.01,23.04,22.478000000000065,15.524780000000002
luoyang,73,CN,1584820438,37,34.68,112.45,55.77800000000006,5.122730000000001
mount gambier,49,AU,1584820442,93,-37.83,140.77,51.8,8.0532
mikhaylovka,100,RU,1584820445,49,50.06,43.24,42.008,7.292619999999999
port blair,0,IN,1584820447,62,11.67,92.75,81.33800000000005,4.58585
port alfred,51,ZA,1584820449,91,-33.59,26.89,66.99199999999999,4.40689
comodoro rivadavia,75,AR,1584820422,29,-45.87,-67.5,77.0,32.2128
upernavik,100,GL,1584820453,96,72.79,-56.15,-1.1019999999999754,6.73337
cidreira,0,BR,1584820457,65,-30.18,-50.21,73.958,10.044130000000001
cherskiy,0,RU,1584820459,77,68.75,161.3,-5.781999999999968,9.82043
narsaq,75,GL,1584820462,42,60.92,-46.05,28.4,19.4619
north bend,1,US,1584820464,66,43.41,-124.22,60.008,16.1064
belle fourche,1,US,1584820466,34,44.67,-103.85,51.998000000000026,18.3434
coihaique,90,CL,1584820468,77,-45.58,-72.07,60.8,3.3555
isangel,75,VU,1584820470,88,-19.55,169.27,75.2,16.86698
berlevag,100,NO,1584820472,91,70.86,29.09,36.69800000000002,20.71462
barra,100,BR,1584820474,69,-11.09,-43.14,80.61800000000008,1.92382
wahpeton,40,US,1584820478,58,46.27,-96.61,32.0,19.4619
asilah,75,MA,1584820481,87,35.47,-6.03,57.2,8.0532
piacabucu,60,BR,1584820483,83,-10.41,-36.43,82.058,9.68621
ipixuna,75,BR,1584820485,88,-1.76,-48.8,80.6,2.237
college,90,US,1584820487,100,64.86,-147.8,32.0,3.10943
rosarito,75,MX,1584820491,67,32.33,-117.03,68.0,9.1717
tahta,0,EG,1584820493,38,26.77,31.5,60.8,8.0532
turayf,75,SA,1584820495,100,31.67,38.66,39.2,13.8694
wufeng,100,CN,1584820498,89,27.45,104.83,53.61800000000009,3.24365
luanda,20,AO,1584820201,69,-8.84,13.23,80.6,6.9347
pevek,0,RU,1584820502,82,69.7,170.31,-10.821999999999932,10.044130000000001
kalga,100,RU,1584820504,78,50.93,118.9,13.838000000000044,2.59492
touros,20,BR,1584820506,58,-5.2,-35.46,87.8,13.8694
hasaki,89,JP,1584820508,93,35.73,140.83,44.6,2.237
kalmunai,88,LK,1584820510,70,7.42,81.82,80.79800000000003,8.34401
raudeberg,100,NO,1584820512,64,61.99,5.14,39.2,13.8694
bredasdorp,4,ZA,1584820515,77,-34.53,20.04,66.2,3.3555
sao joao da ponte,100,BR,1584820517,91,-15.93,-44.01,73.41800000000009,2.79625
acajutla,0,SV,1584820513,44,13.59,-89.83,87.99800000000002,4.004230000000001
shawville,75,CA,1584820521,34,45.6,-76.48,28.004000000000055,1.00665
luderitz,0,NA,1584820523,77,-26.65,15.16,64.4,18.3434
caravelas,100,BR,1584820527,84,-17.71,-39.25,82.77800000000006,12.68379
aasiaat,100,GL,1584820529,92,68.71,-52.87,4.838000000000044,8.25453
iqaluit,75,CA,1584820531,69,63.75,-68.51,-7.005999999999979,26.396600000000003
baturite,100,BR,1584820534,89,-4.33,-38.88,76.29800000000003,1.96856
asau,90,RO,1584820536,86,46.43,26.4,41.0,23.041100000000004
kitimat,75,CA,1584820411,60,54.05,-128.65,41.0,3.3555
mitu,92,CO,1584820540,54,1.2,-70.17,90.69800000000002,2.97521
kavieng,83,PG,1584820542,73,-2.57,150.8,83.31800000000008,2.6844
hokitika,78,NZ,1584820441,81,-42.72,170.97,62.79800000000002,16.59854
guerrero,100,MX,1584820546,50,17.67,-100.0,72.69800000000002,4.0266
tamiahua,0,MX,1584820548,85,21.27,-97.45,74.858,7.96372
muros,75,ES,1584820550,93,42.78,-9.06,57.00200000000008,3.3555
okhotsk,100,RU,1584820553,68,59.38,143.3,12.938000000000045,9.14933
cachoeira do sul,0,BR,1584820555,44,-30.04,-52.89,78.99800000000002,3.78053
ozernovskiy,100,RU,1584820557,88,51.5,156.52,29.498000000000026,29.10337
muscat,20,OM,1584820297,51,23.61,58.59,80.6,13.8694
athabasca,49,CA,1584820561,86,54.72,-113.29,32.378000000000064,14.13784
burnie,84,AU,1584820567,77,-41.07,145.92,53.00600000000003,7.00181
verkhnyaya inta,100,RU,1584820570,95,65.98,60.31,9.338000000000044,9.373030000000002
khani,90,GE,1584820572,81,41.96,42.96,48.2,2.237
haapiti,75,PF,1584820574,66,-17.57,-149.87,86.0,4.6977
qaanaaq,100,GL,1584820576,61,77.48,-69.36,-5.781999999999968,1.49879
tarrafal,20,CV,1584820578,69,15.28,-23.77,73.4,19.4619
qasigiannguit,40,GL,1584820580,71,68.82,-51.19,6.800000000000001,5.8162
port moresby,40,PG,1584820582,100,-9.44,147.18,77.0,1.1185
fairbanks,90,US,1584820338,100,64.84,-147.72,30.002000000000077,3.5792
ancud,90,CL,1584820587,87,-41.87,-73.82,57.2,14.987900000000002
ossora,100,RU,1584820589,94,59.24,163.07,33.81800000000008,17.18016
hithadhoo,1,MV,1584820591,67,-0.6,73.08,83.67800000000007,2.19226
asfi,1,MA,1584820593,87,32.3,-9.24,53.07800000000007,5.61487
springbok,0,ZA,1584820595,54,-29.66,17.89,60.458000000000006,5.077990000000001
coolum beach,29,AU,1584820597,96,-26.53,153.1,69.99800000000002,1.99093
matara,62,LK,1584820599,90,5.95,80.54,72.87800000000007,5.50302
rawson,100,AR,1584820601,45,-43.3,-65.1,71.61800000000008,10.35731
kendari,100,ID,1584820603,97,-3.94,122.5,72.87800000000007,4.16082
monrovia,75,LR,1584820606,88,6.3,-10.8,77.0,6.39782
dubrovnik,100,HR,1584820608,47,42.65,18.09,55.4,4.6977
kisangani,100,CD,1584820610,98,0.52,25.2,69.63800000000005,3.28839
tabou,100,CI,1584820612,86,4.42,-7.35,78.27800000000006,2.55018
etchoropo,33,MX,1584820614,34,26.77,-109.67,82.00400000000005,5.99516
rosetta,0,EG,1584820616,62,31.4,30.42,57.2,6.9347
mount isa,1,AU,1584820510,56,-20.73,139.5,68.0,4.6977
kiunga,100,PG,1584820620,99,-6.12,141.29,72.69800000000002,0.87243
port elizabeth,4,ZA,1584820619,88,-33.92,25.57,64.4,3.3555
lesnoy,1,RU,1584820625,89,57.62,63.08,17.978000000000065,6.0399
palu,100,ID,1584820627,98,-0.89,119.87,66.03800000000004,1.94619
muisne,75,EC,1584820629,83,0.6,-80.03,82.4,8.0532
ranau,20,MY,1584820631,88,5.95,116.66,78.8,3.3555
ambilobe,0,MG,1584820633,84,-13.2,49.05,75.93800000000005,9.68621
viransehir,0,TR,1584820635,70,37.24,39.76,46.23800000000004,11.07315
nelson bay,37,AU,1584820637,93,-32.72,152.15,69.00800000000001,2.0133
biltine,100,TD,1584820639,10,14.53,20.92,81.69800000000002,11.610030000000002
yar-sale,56,RU,1584820642,91,66.83,70.83,-4.881999999999962,5.97279
inuvik,75,CA,1584820644,79,68.35,-133.72,28.4,5.8162
cravo norte,70,CO,1584820646,23,6.3,-70.2,98.61800000000008,11.00604
labuhan,37,ID,1584820648,87,-6.88,112.21,75.03800000000004,1.90145
finnsnes,100,NO,1584820650,80,69.23,17.98,33.8,31.0943
parrita,40,CR,1584820473,44,9.52,-84.32,82.4,20.804100000000002
sergeyevka,100,KZ,1584820654,93,53.88,67.42,26.978000000000065,20.89358
abu dhabi,18,AE,1584820295,69,24.47,54.37,75.99199999999999,13.8694
aloleng,23,PH,1584820659,79,16.13,119.78,72.51800000000009,2.57255
bayeux,100,BR,1584820661,66,-7.12,-34.93,86.0,9.1717
baruun-urt,16,MN,1584820665,72,46.68,113.28,25.178000000000065,8.008460000000001
mananjary,94,MG,1584820667,74,-21.22,48.33,78.63800000000005,7.69528
olinda,20,BR,1584820669,62,-8.01,-34.86,87.8,10.2902
sopot,40,PL,1584820671,80,54.44,18.56,35.00600000000003,11.4087
bathsheba,40,BB,1584820673,62,13.22,-59.52,84.2,17.2249
pisco,20,PE,1584820676,30,-13.7,-76.22,80.00600000000003,10.2902
stanislav,100,UA,1584820678,99,46.57,32.15,46.99400000000007,14.518130000000001
port lincoln,82,AU,1584820680,82,-34.73,135.87,61.898000000000025,10.20072
nadym,0,RU,1584820682,92,65.53,72.52,-8.301999999999978,4.89903
ponta delgada,20,PT,1584820684,62,37.73,-25.67,55.4,17.2249
laguna,1,US,1584820591,62,38.42,-121.42,64.99400000000007,3.3555
port-gentil,40,GA,1584820690,88,-0.72,8.78,82.4,6.9347
surt,32,LY,1584820413,24,31.21,16.59,68.37800000000007,23.376649999999998
sungai udang,40,MY,1584820497,83,2.27,102.14,78.8,2.237
katherine,3,AU,1584820699,73,-14.47,132.27,71.6,5.570130000000001
puli,40,TW,1584820596,78,23.97,120.97,73.99400000000007,8.0532
anshun,53,CN,1584820703,75,26.25,105.93,59.19800000000002,3.51209
muzhi,72,RU,1584820707,82,65.37,64.67,11.318000000000087,13.287780000000001
tazovskiy,82,RU,1584820709,98,67.47,78.7,-8.481999999999964,10.62575
nanortalik,100,GL,1584820712,61,60.14,-45.24,25.898000000000025,31.38511
weligama,62,LK,1584820714,90,5.97,80.42,72.87800000000007,5.50302
salinopolis,100,BR,1584820697,80,-0.61,-47.36,80.61800000000008,9.82043
sorong,100,ID,1584820718,96,-0.88,131.25,73.77800000000006,0.93954
chuy,0,UY,1584820722,58,-33.7,-53.46,73.77800000000006,9.194070000000002
fethiye,0,TR,1584820724,87,36.62,29.12,50.0,4.6977
deputatskiy,83,RU,1584820726,100,69.3,139.9,-9.741999999999948,0.6263600000000001
breyten,16,ZA,1584820728,94,-26.3,29.99,53.978000000000065,4.11608
victoria,40,HK,1584820731,94,22.29,114.16,73.99400000000007,6.9347
gondang,61,ID,1584820733,88,-7.01,111.32,74.13800000000005,1.43168
torbay,40,CA,1584820735,69,47.67,-52.73,37.004000000000055,41.3845
udachnyy,0,RU,1584820737,63,66.42,112.4,-9.399999999999949,6.711
la seyne-sur-mer,83,FR,1584820739,87,43.1,5.88,55.99400000000007,2.237
naron,90,ES,1584820741,87,43.52,-8.15,55.004000000000055,5.8162
roma,1,US,1584820743,34,43.21,-75.46,37.99400000000007,8.0532
wawina,0,HN,1584820745,58,15.42,-84.43,84.21800000000009,6.509670000000001
talnakh,40,RU,1584820748,84,69.49,88.4,-2.199999999999946,20.133000000000003
santa cruz de la palma,40,ES,1584820750,55,28.68,-17.76,64.4,18.3434
maniitsoq,12,GL,1584820752,70,65.42,-52.9,16.178000000000065,10.26783
longyearbyen,75,SJ,1584820621,78,78.22,15.64,17.6,9.1717
niquelandia,100,BR,1584820756,93,-14.47,-48.46,74.13800000000005,3.0870599999999997
itoman,90,JP,1584820758,87,26.12,127.67,73.4,12.750900000000001
hambantota,70,LK,1584820760,79,6.12,81.12,78.63800000000005,9.97702
sitka,90,US,1584820762,80,57.05,-135.33,39.2,5.8162
hamilton,90,US,1584820764,74,39.18,-84.53,39.2,6.9347
